2026-01-24 09:34:52,286 [INFO] budget_app: Logger initialized successfully
2026-01-24 09:34:53,729 [INFO] budget_app: Database engine initialized
2026-01-24 09:35:49,741 [INFO] budget_app: Logger initialized successfully
2026-01-24 09:35:49,948 [INFO] budget_app: Database engine initialized
2026-01-24 09:36:11,148 [INFO] budget_app: Creating bank link token for user e9eac002-4d97-4d3a-8c19-f0ee261f4bf3
2026-01-24 09:36:11,148 [INFO] budget_app: Creating bank link token for user e9eac002-4d97-4d3a-8c19-f0ee261f4bf3
2026-01-24 09:36:57,441 [DEBUG] budget_app: Unknown account subtype encountered: cd
2026-01-24 09:36:57,441 [DEBUG] budget_app: Unknown account subtype encountered: credit card
2026-01-24 09:36:57,441 [DEBUG] budget_app: Unknown account subtype encountered: money market
2026-01-24 09:36:57,441 [DEBUG] budget_app: Unknown account subtype encountered: ira
2026-01-24 09:36:57,441 [DEBUG] budget_app: Unknown account subtype encountered: 401k
2026-01-24 09:36:57,442 [DEBUG] budget_app: Unknown account subtype encountered: cash management
2026-01-24 09:36:57,442 [DEBUG] budget_app: Unknown account subtype encountered: credit card
2026-01-24 09:36:58,252 [INFO] budget_app: Transaction added: transaction_id=abrBjvr4KjF5nM54NagmumErzWKnVzUZNvRdv, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,255 [INFO] budget_app: Transaction added: transaction_id=3AXGm4XzomI8oM8jEZqBcgKb5EpM75HZALq9J, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,259 [INFO] budget_app: Transaction added: transaction_id=GDxy1vx8A1terBeV6kpEudqLPrQNgPi6aLWEE, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,262 [INFO] budget_app: Transaction added: transaction_id=wmXbrMXywrfQlXQmR6kAuzXV4nQej4uPGarWR, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,266 [INFO] budget_app: Transaction added: transaction_id=45kalNkBDlt8Lz89WJKjcG3xezp1qeFJoKgDq, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,269 [INFO] budget_app: Transaction added: transaction_id=NDj7Wvjm6Wto4jo6BgJZuwxz34BKa3Iy3zreL, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,272 [INFO] budget_app: Transaction added: transaction_id=PDZQGvZ96GtnPknVErmvsgwnZP6qaZHo1nw3w, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,275 [INFO] budget_app: Transaction added: transaction_id=jnmJoBm1NotbglbPM3nBcDbL9WaBe9f6Ejyp1, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,278 [INFO] budget_app: Transaction added: transaction_id=8EjDzejaAzHlW3lnVQ5ACBe3AvERrAiWnRxd4, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,280 [INFO] budget_app: Transaction added: transaction_id=5mM4qPM3Rqfk8ZkgV1rpu1x8oBELRoi5vEZNK, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,284 [INFO] budget_app: Transaction added: transaction_id=7D5ar75dmrt8xj8dQNnmcypLWxqoAWcdZaNvd, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,287 [INFO] budget_app: Transaction added: transaction_id=JDN4ovNA6otM34MB6RAqcPxGD3eWdDcBAGdR8, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,290 [INFO] budget_app: Transaction added: transaction_id=qy1bnP1WMnsN9RN6bq7ZhnyrmB3A4mfgE5dwD, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,292 [INFO] budget_app: Transaction added: transaction_id=lnQ98xQpj8t9Wp97q5VBc8pRv1LbXvtp45Zbv, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,295 [INFO] budget_app: Transaction added: transaction_id=kWQxg3QLPgCeXZepmboguNxPe4p8BeiL93WZl, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,298 [INFO] budget_app: Transaction added: transaction_id=EDBwZGBobZtjqRjVgZM8sNwMrqLKJri4yMjDa, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,301 [INFO] budget_app: Transaction added: transaction_id=eWxPZlx73ZCo9goa3bDkuZa8mXJEbmCrgXM6a, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,304 [INFO] budget_app: Transaction added: transaction_id=xnWgz1W9yztm6KmyqQ7wCqjzwDoVAwf61ZnDj, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,306 [INFO] budget_app: Transaction added: transaction_id=nnQMWaQgeWtb5mbA1B7qcwDrEpZamEIAoX6zz, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,309 [INFO] budget_app: Transaction added: transaction_id=KDN4gvNG6gt1xZ1WknoECQvj1xqmK1SRyjVzP, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,312 [INFO] budget_app: Transaction added: transaction_id=QDGXnwGv6ntnjMnlQG68s7nWVjgKlVSw1nky3, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,316 [INFO] budget_app: Transaction added: transaction_id=ZWy83Xyr63Cno7nPyJZwsJAEag6N5aie3v8Qb, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,319 [INFO] budget_app: Transaction added: transaction_id=MDNjkvNb6ktpalpDJjXnCrR5za76AzcLK5Dnz, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,322 [INFO] budget_app: Transaction added: transaction_id=1EM4ndMK5nHQaZQkgPNwuLGPxrND3xcpzaQWN, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,325 [INFO] budget_app: Transaction added: transaction_id=WDyLrvylVrtd19dvzemWfZdQ31ypE3C6R5WLJ, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,329 [INFO] budget_app: Transaction added: transaction_id=rnWgbkWA1bt7KL7m9q6euZLVjgd6mjC7QXlZQ, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,332 [INFO] budget_app: Transaction added: transaction_id=LDN48vNn68tLdQL9gR6ES5Mm1dLDr1tk7mLD3, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,335 [INFO] budget_app: Transaction added: transaction_id=zXwa3pwRV3FXErXLDo5qs7NXJn6kBJSlVKoxy, account_id=1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8
2026-01-24 09:36:58,335 [INFO] budget_app: Account 1EM4ndMK5nHQaZQkgPNwuLGw3JdmrGcp7DJl8 linked with 49 transactions
2026-01-24 09:36:58,336 [INFO] budget_app: Account created: account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4, user_id=e9eac002-4d97-4d3a-8c19-f0ee261f4bf3
2026-01-24 09:36:58,960 [INFO] budget_app: Transaction added: transaction_id=EDBwZGBobZtjqRjVgZM8sNwd7mxwABF4LmWwz, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,963 [INFO] budget_app: Transaction added: transaction_id=GDxy1vx8A1terBeV6kpEudqjRM5q6at64oDlr, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,966 [INFO] budget_app: Transaction added: transaction_id=AEkxj8kM6jHazRa4wgMeumEz9lNEPwF9v5q7e, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,968 [INFO] budget_app: Transaction added: transaction_id=WDyLrvylVrtd19dvzemWfZdamVMdjAC6Gjerq, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,971 [INFO] budget_app: Transaction added: transaction_id=onmJA4m8QAtbRXb15J7KcErnvMkrxdso3b6ar, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,973 [INFO] budget_app: Transaction added: transaction_id=QDGXnwGv6ntnjMnlQG68s7nAEavnmoUwdDbxk, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,976 [INFO] budget_app: Transaction added: transaction_id=ynWMBLWvyBtp8kpq6ZAmC1WAv3bWazt4QwV9N, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,979 [INFO] budget_app: Transaction added: transaction_id=8EjDzejaAzHlW3lnVQ5ACBeDZkqeVJCWy8DAN, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,982 [INFO] budget_app: Transaction added: transaction_id=nnQMWaQgeWtb5mbA1B7qcwDNkeKDvjHABQ1da, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,984 [INFO] budget_app: Transaction added: transaction_id=ZWy83Xyr63Cno7nPyJZwsJAklxrAGLuejGZ5g, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,986 [INFO] budget_app: Transaction added: transaction_id=MDNjkvNb6ktpalpDJjXnCrRZbJKRGxuLo1aBL, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,989 [INFO] budget_app: Transaction added: transaction_id=1EM4ndMK5nHQaZQkgPNwuLG7lmdGZjFpwr6gq, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,991 [INFO] budget_app: Transaction added: transaction_id=LDN48vNn68tLdQL9gR6ES5Mz3AyMj8IkJEZbl, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,994 [INFO] budget_app: Transaction added: transaction_id=gWaP1KaQd1CwRxwbq16Kupbkj94b7ofEX5AbP, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,996 [INFO] budget_app: Transaction added: transaction_id=bWz67vzNr7C15v1boMJgCpVAdeNV6Zfmw7A5M, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:58,999 [INFO] budget_app: Transaction added: transaction_id=pnRPGNREZGtRPpRDJ9mrtWzNvrEzaZspxzP4K, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:59,001 [INFO] budget_app: Transaction added: transaction_id=mnXgEdXo7Etbr9bXL5wlceVnzmMVRDig5XBbB, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:59,003 [INFO] budget_app: Transaction added: transaction_id=VDyaKvyV6KtnMmnxaNk8se7rQM4xBQH9avWKQ, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:59,005 [INFO] budget_app: Transaction added: transaction_id=DDz1QAzp6QtPlwPBdaMJHMKrglZnNgF31rv6L, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:59,008 [INFO] budget_app: Transaction added: transaction_id=XWVgkvVq6kCmLWmnQKvxCzpa8wxnB8ubQrdeL, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:59,010 [INFO] budget_app: Transaction added: transaction_id=gWaP1KaQd1CwRxwbq16KupbKPm1lAPtEoGl3k, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:59,013 [INFO] budget_app: Transaction added: transaction_id=abrBjvr4KjF5nM54NagmumErzWKnVzUZNvRdv, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
2026-01-24 09:36:59,015 [INFO] budget_app: Transaction added: transaction_id=3AXGm4XzomI8oM8jEZqBcgKb5EpM75HZALq9J, account_id=GDxy1vx8A1terBeV6kpEudqwk7oVEgc69Zey4
